miRNA,log2FC,p_value,adj_p,Direction,Significant
hsa-miR-152-5p,-2.476155434045408,0.4390505745938639,0.6040498066157751,Down_in_LUAD,False
hsa-miR-1537-3p,34.989288307238844,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1538,3.0748232859385576,0.3743696813431703,0.5546333230048124,Up_in_LUAD,False
hsa-miR-1539,30.784381417486745,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-155-3p,29.671169552578355,0.34089313230206,0.5362329327587064,Up_in_LUAD,False
hsa-miR-155-5p,1.1111527035488251,0.5174912339943705,0.6689520829683325,Up_in_LUAD,False
hsa-miR-15a-3p,29.114776204848123,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-15a-5p,0.2647169623204455,0.7971224489276169,0.8904713818971313,Up_in_LUAD,False
hsa-miR-15b-3p,-4.760546054062814,0.2997992522641082,0.5362329327587064,Down_in_LUAD,False
hsa-miR-15b-5p,1.1358164228497767,0.08361263628279662,0.5362329327587064,Up_in_LUAD,False
hsa-miR-16-2-3p,0.5516805975705044,0.5556155787011849,0.6974437658959611,Up_in_LUAD,False
hsa-miR-16-5p,-0.09902198986056199,0.9037693307487451,0.947468067620113,Down_in_LUAD,False
hsa-miR-17-3p,5.789496446256091,0.3386605129537573,0.5362329327587064,Up_in_LUAD,False
hsa-miR-17-5p,0.31501852417967147,0.5827988403911788,0.7140535950722542,Up_in_LUAD,False
hsa-miR-181a-2-3p,0.4415467595038578,0.6326102706830816,0.7553319126804253,Up_in_LUAD,False
hsa-miR-181a-3p,0.1099187670104591,0.9070902657236908,0.9478248778755761,Up_in_LUAD,False
hsa-miR-181a-5p,-0.36956427403095304,0.39994881544987804,0.5696090113209137,Down_in_LUAD,False
hsa-miR-181b-3p,-31.865166577501824,0.19090323096808143,0.5362329327587064,Down_in_LUAD,False
hsa-miR-181b-5p,0.33222036925019616,0.6541712766008072,0.7729446014299687,Up_in_LUAD,False
hsa-miR-181c-3p,-2.2351866033223686,0.016086726834901883,0.5362329327587064,Down_in_LUAD,False
hsa-miR-181c-5p,0.34141146376802745,0.4972860591570232,0.6517489075007031,Up_in_LUAD,False
hsa-miR-181d-5p,-0.696065014484617,0.5642402165635089,0.7027221496104274,Down_in_LUAD,False
hsa-miR-182-3p,-30.20478466750066,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-182-5p,-0.7052199742827217,0.4061164479217424,0.5739593980433136,Down_in_LUAD,False
hsa-miR-183-5p,-2.059310843653156,0.36560578108093655,0.5508946431319606,Down_in_LUAD,False
hsa-miR-184,2.874002309588369,0.2319295322581395,0.5362329327587064,Up_in_LUAD,False
hsa-miR-185-3p,-0.47723487944447296,0.7971305661846436,0.8904713818971313,Down_in_LUAD,False
hsa-miR-185-5p,0.12305354359719978,0.8685139142028786,0.9257679040777053,Up_in_LUAD,False
hsa-miR-186-5p,-0.02844618260500198,0.9574362789624851,0.9795047882875186,Down_in_LUAD,False
hsa-miR-187-3p,33.162151911044134,0.2440576129570217,0.5362329327587064,Up_in_LUAD,False
hsa-miR-188-5p,31.898002333966833,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-18a-3p,-35.11071702190294,0.09221977883924048,0.5362329327587064,Down_in_LUAD,False
hsa-miR-18a-5p,-1.2056265577337584,0.4690906131526472,0.6300144035920348,Down_in_LUAD,False
hsa-miR-18b-3p,31.615851985202518,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-18b-5p,-0.8191209101686073,0.6833096341359588,0.7933049325938618,Down_in_LUAD,False
hsa-miR-1908-3p,-31.676272841084092,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1908-5p,-1.7599973842886312,0.4754207255444215,0.6360632904738702,Down_in_LUAD,False
hsa-miR-190a-5p,-0.37205061547008533,0.804626827012654,0.8956989416220209,Down_in_LUAD,False
hsa-miR-190b,-32.734465192761235,0.2387729791645442,0.5362329327587064,Down_in_LUAD,False
hsa-miR-191-3p,-4.451752065648624,0.33830662022893654,0.5362329327587064,Down_in_LUAD,False
hsa-miR-191-5p,0.2532365113254489,0.6620515058852325,0.7765671587730982,Up_in_LUAD,False
hsa-miR-1910-5p,2.0834326490704047,0.4480135047429339,0.6097073944718387,Up_in_LUAD,False
hsa-miR-1911-3p,-32.94931487327093,0.34343639613791366,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1913,29.06150106846428,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-192-3p,35.5742508079459,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-192-5p,0.011799220425169565,0.9856350076395174,0.9925349828707325,Up_in_LUAD,False
hsa-miR-193a-5p,1.2673459017485218,0.3982847625815851,0.5696090113209137,Up_in_LUAD,False
hsa-miR-193b-3p,1.6058819699560472,0.191658265105402,0.5362329327587064,Up_in_LUAD,False
hsa-miR-193b-5p,0.08049444362752478,0.9655268610838104,0.9819964024242591,Up_in_LUAD,False
hsa-miR-194-3p,-32.366462997112926,0.28618941181962976,0.5362329327587064,Down_in_LUAD,False
hsa-miR-194-5p,-4.189680855833115,0.27315532256627356,0.5362329327587064,Down_in_LUAD,False
hsa-miR-195-3p,1.1516622916177477,0.4927094208001995,0.6501715824178108,Up_in_LUAD,False
hsa-miR-195-5p,-0.9294937841671063,0.44135067636795233,0.6040868655021902,Down_in_LUAD,False
hsa-miR-196a-5p,-0.40693623649780797,0.7451220952347625,0.850294831165028,Down_in_LUAD,False
hsa-miR-196b-5p,-0.5152497116439934,0.6091787600900422,0.7356411862353168,Down_in_LUAD,False
hsa-miR-197-3p,-0.12867536793372203,0.8492578157487687,0.9165670604964772,Down_in_LUAD,False
hsa-miR-197-5p,-32.39546822819933,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1976,-34.69143896256508,0.3111136960038941,0.5362329327587064,Down_in_LUAD,False
hsa-miR-198,-32.781526660446445,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-199a-3p,-1.1414731087645436,0.15136228015227418,0.5362329327587064,Down_in_LUAD,False
hsa-miR-199a-5p,-0.31451980700167237,0.8007086735861527,0.8923785918238197,Down_in_LUAD,False
hsa-miR-199b-3p,-1.1682164709510747,0.1398223698463544,0.5362329327587064,Down_in_LUAD,False
hsa-miR-199b-5p,2.779300121446056,0.26273494497603633,0.5362329327587064,Up_in_LUAD,False
hsa-miR-19a-3p,0.08549925567709771,0.9153887376016543,0.9531803294674297,Up_in_LUAD,False
hsa-miR-19b-3p,-0.40198163679975707,0.5740821133118557,0.707589581523915,Down_in_LUAD,False
hsa-miR-200a-3p,0.5283607752816799,0.5197847949064167,0.6691966185434838,Up_in_LUAD,False
hsa-miR-200a-5p,-1.7701804350737085,0.30539298429690875,0.5362329327587064,Down_in_LUAD,False
hsa-miR-200b-3p,1.4358287771135068,0.14798947769092038,0.5362329327587064,Up_in_LUAD,False
hsa-miR-200b-5p,-2.6130578528306954,0.3046462703545753,0.5362329327587064,Down_in_LUAD,False
